Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,release height,RelX,RelZ,Chase%,Barrel%,Fly%,Ground%,BaU,Tilt,SpinDir,wOBA,Throws,4FB stuff+,85/15 perf scale velo scale stuff+,shape+ 4FB,general performance+,P,Vel,pvelo,HorzBrk,ABS horzBreak,IndVertBrk,Spin,HorzApprAngle,xVAA T1/3,VertApprAngle,Extension,InZone%,IZ Whiff,OZ Whiff,SwStrk%,perf multiplier velo scale stuff+,50/50 perf scale velo scale stuff+,pvelo scale stuff+ 4FB,fixed scale stuff+ 4FB (pre break),vel brk stuff+ 4FB,eno sarris stuff+ 4FB,outlier
1,1328223488,D. Quinn,Drake Quinn,Quinn,Drake,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,62.23,-15.3,62.2,16.1%,0.0%,20.0%,60.0%,25,1:16,-142.0,.193,R,106.90,533.97,531.84,20.80%,48,90.7,88.59,10.7,10.72,14.7,2238.6,-1.18,-4.05,-4.94,5.19,35.4%,-,-,14.6%,110.63,106.74,520.20,315.34,1355.27,4665.87,393.47
1,1103752192,P. Labriola,P.j. Labriola,Labriola,P.j.,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,75.08,16.9,75.1,9.1%,25.0%,37.5%,37.5%,25,11:37,168.5,.465,L,78.00,389.61,362.03,20.95%,48,91.7,91.64,-2.5,2.52,13.7,2266.2,1.13,-5.29,-6.17,6.39,54.2%,-,-,10.4%,75.86,90.08,361.78,187.76,1259.49,4367.07,396.90
1,1129406976,T. Stromsborg,Tyler Stromsborg,Stromsborg,Tyler,P,University of Southern California,USC,5047,USC,BBC,R,R,69.17,-13.9,69.2,15.0%,40.0%,0.0%,66.7%,25,1:19,-140.5,.584,R,86.99,434.49,457.27,11.49%,37,90.0,89.50,10.2,10.21,13.5,2245.7,-0.83,-4.95,-5.58,6.13,45.9%,-,-,0.0%,52.52,75.37,454.55,241.91,1324.51,4659.91,394.30
1,1214064384,L. Mercado,Logan Mercado,Mercado,Logan,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,69.77,-9.6,69.8,22.1%,10.0%,30.2%,32.6%,25,12:48,-155.9,.364,R,108.10,539.96,548.47,18.67%,320,91.2,90.38,9.2,9.16,21.6,2316.7,0.03,-4.21,-4.72,5.94,46.3%,-,-,9.4%,102.39,102.94,543.92,302.01,1463.32,4773.46,407.24
1,1211163648,J. Thorsteinson,Justin Thorsteinson,Thorsteinson,Justin,P,University of Minnesota,MINN,4864,Minnesota,BBC,L,L,69.23,13.6,69.2,18.0%,25.7%,21.1%,36.8%,23,10:53,146.5,.418,L,99.38,496.41,498.04,18.54%,220,89.7,89.05,-10.6,10.61,17.1,2102.6,0.40,-4.58,-4.89,6.06,49.5%,-,-,8.2%,92.31,97.54,494.67,263.38,1373.07,4755.40,370.88
1,1111741952,L. Short,Luke Short,Short,Luke,P,University of California,CAL,730152448,California,BBC,L,L,70.39,20.0,70.4,20.7%,26.4%,37.2%,28.7%,25,11:10,155.1,.350,L,94.63,472.68,463.38,20.06%,439,88.1,88.06,-8.1,8.15,18.6,2170.3,0.86,-4.73,-5.33,6.38,59.1%,-,-,7.1%,92.95,97.96,463.07,234.99,1362.74,4940.35,381.90
1,1283757568,Z. Badmaev,Zane Badmaev,Badmaev,Zane,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,76.82,-29.0,76.8,36.7%,27.3%,14.3%,42.9%,26,12:03,-178.3,.223,R,79.82,398.68,364.39,22.79%,74,90.4,92.09,0.4,0.44,16.6,2393.5,-2.60,-5.12,-5.63,7.39,54.5%,-,-,12.2%,83.04,95.02,373.67,189.79,1284.04,4931.06,418.19
1,1081215744,B. Porthan,Brett Porthan,Porthan,Brett,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,69.44,-8.8,69.4,15.1%,30.8%,38.5%,26.9%,27,1:19,-140.7,.463,R,107.12,535.04,550.43,16.95%,142,90.5,90.19,13.2,13.19,17.0,2406.9,-0.15,-4.47,-5.10,6.22,48.6%,-,-,6.3%,93.32,98.74,548.59,303.32,1433.93,4876.04,422.14
1,1221827840,N. Ferguson,Noah Ferguson,Ferguson,Noah,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,67.13,-22.9,67.1,24.2%,20.0%,100.0%,0.0%,24,1:11,-144.6,.301,R,106.69,532.91,550.23,16.44%,52,90.4,88.72,12.1,12.14,18.3,2206.5,-1.63,-4.26,-4.76,5.47,36.5%,-,-,9.6%,90.47,97.41,541.24,303.52,1423.99,5249.61,388.94
1,1278603265,R. Slater,Ryan Slater,Slater,Ryan,P,University of Florida,FLA,730168320,Florida,BBC,R,R,72.02,-24.5,72.0,11.5%,0.0%,0.0%,100.0%,22,1:09,-145.3,.279,R,93.03,464.66,491.73,11.68%,42,92.5,90.88,10.8,10.79,16.9,2018.1,-1.92,-4.86,-5.25,5.49,38.1%,-,-,2.4%,57.44,79.33,482.93,252.48,1388.70,5167.59,357.58
1,1184455680,C. Burns,Chase Burns,Burns,Chase,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,77.57,-16.2,77.6,25.2%,36.5%,35.2%,31.0%,27,12:21,-169.6,.405,R,106.46,531.79,511.23,24.81%,667,97.8,98.04,3.7,3.69,20.3,2636.1,-1.00,-4.52,-5.06,6.55,51.7%,-,-,15.9%,126.83,114.95,512.51,300.29,1467.81,4920.61,460.66
1,1258116352,M. Nichols,Mason Nichols,Nichols,Mason,P,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,76.16,-16.1,76.2,24.3%,23.7%,22.5%,22.5%,24,12:31,-164.5,.294,R,97.01,484.57,468.63,21.99%,312,91.1,90.59,5.6,5.62,21.3,2207.5,-0.97,-4.72,-5.20,6.13,53.7%,-,-,11.5%,103.03,103.43,465.88,239.61,1408.10,4808.68,388.61
1,1084929536,C. Stamos,Chris Stamos,Stamos,Chris,P,University of Tennessee,TENN,730153728,Tennessee,BBC,L,L,75.34,16.6,75.3,26.1%,22.5%,46.5%,23.3%,24,11:09,154.7,.391,L,98.36,491.30,475.27,22.26%,258,89.7,89.67,-9.0,9.01,20.2,2134.6,0.56,-4.93,-5.58,6.42,53.5%,-,-,12.0%,105.80,104.80,475.31,230.07,1408.69,4980.65,376.59
1,1143054592,S. Clausen,Seth Clausen,Clausen,Seth,P,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,76.05,-7.8,76.1,14.6%,0.0%,25.0%,45.0%,23,12:42,-159.1,.391,R,95.90,479.02,484.83,16.94%,161,92.8,90.84,7.2,7.25,20.1,2139.0,-0.21,-4.75,-5.03,5.27,44.7%,-,-,7.5%,82.15,92.13,473.95,250.73,1416.52,4482.91,377.41
1,1277162752,E. Hayden,Enas Hayden,Hayden,Enas,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,69.51,-21.7,69.5,23.8%,0.0%,50.0%,0.0%,25,12:31,-164.4,.408,R,141.80,708.31,753.03,17.04%,29,89.0,88.42,5.1,5.14,19.6,2254.1,-1.74,-,-5.09,6.06,27.6%,-,-,13.8%,128.33,119.31,749.66,583.54,1361.46,4856.47,395.78
1,1120622080,M. Becker,Matthew Becker,Becker,Matthew,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,L,71.57,15.0,71.6,13.6%,21.1%,27.3%,45.5%,23,11:14,156.8,.296,L,101.99,509.43,489.85,23.74%,221,89.1,87.49,-8.5,8.49,21.1,2023.2,1.12,-4.57,-5.25,5.48,50.2%,-,-,14.9%,116.29,110.06,480.91,246.10,1402.77,4770.07,358.04
1,1207750400,W. Koger,Will Koger,Koger,Will,P,University of Louisville,LOU,5467,Louisville,BBC,L,R,70.55,-20.7,70.6,20.0%,20.8%,37.0%,37.0%,26,1:20,-140.2,.390,R,112.07,559.81,568.63,19.35%,114,94.3,92.87,13.3,13.29,17.1,2419.0,-0.52,-4.55,-5.16,5.56,56.1%,-,-,7.0%,110.04,106.72,560.51,318.09,1470.61,5358.57,424.91
1,1184449536,C. Buchanan,Coulson Buchanan,Buchanan,Coulson,P,University of Alabama,ALA,730206976,Alabama,BBC,R,R,71.06,-8.6,71.1,15.0%,18.8%,28.1%,31.3%,26,12:42,-159.2,.423,R,91.19,455.51,465.95,15.02%,155,88.7,87.64,6.8,6.83,19.2,2266.1,-0.04,-4.63,-5.48,5.82,48.4%,-,-,3.9%,70.00,85.31,460.27,243.29,1371.86,4444.89,397.72
1,1184455936,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,University of Miami,MIA,236,Miami,BBC,R,R,70.39,-8.2,70.4,22.6%,16.9%,32.0%,34.7%,25,12:34,-163.2,.311,R,97.93,489.15,484.32,19.69%,688,92.9,92.25,5.2,5.25,18.0,2362.6,-0.48,-4.41,-4.74,6.02,53.8%,-,-,8.4%,95.37,99.13,480.51,278.69,1379.91,4359.71,414.00
1,1084022272,K. Ligon,Karson Ligon,Ligon,Karson,P,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,70.33,-16.2,70.3,16.1%,40.0%,43.8%,37.5%,25,1:08,-146.0,.650,R,103.83,518.65,540.32,14.94%,101,94.7,92.71,10.5,10.45,16.5,2332.7,-0.39,-4.42,-5.40,5.27,44.6%,-,-,5.0%,80.70,92.56,529.43,310.68,1424.70,4917.72,410.02
1,1303785728,B. Neely,Brandon Neely,Neely,Brandon,P,University of Florida,FLA,730168320,Florida,BBC,R,R,66.95,-26.3,67.0,24.2%,23.1%,40.0%,46.7%,25,1:25,-137.7,.391,R,122.39,611.35,608.37,23.93%,194,93.7,93.89,14.6,14.61,17.1,2365.1,-1.03,-4.07,-4.24,6.52,53.1%,-,-,14.4%,145.61,122.46,609.32,354.73,1474.41,5663.63,415.95
1,1142804480,C. Hill,Camron Hill,Hill,Camron,P,Georgia Tech,GT,100,Georgia Tech,BBC,L,L,71.30,34.1,71.3,17.4%,18.6%,43.2%,27.3%,25,11:01,150.3,.434,L,98.88,493.90,484.18,20.96%,266,90.8,91.19,-9.1,9.06,16.8,2227.5,2.10,-4.68,-5.30,6.63,54.2%,-,-,10.2%,101.48,102.36,486.24,259.54,1372.33,5555.16,391.94
1,1297341440,M. Marriott,Mason Marriott,Marriott,Mason,P,Baylor University,BAY,3033,Baylor,BBC,L,R,72.56,-13.1,72.6,17.2%,27.2%,32.0%,43.7%,24,12:59,-150.6,.386,R,100.30,500.98,503.62,18.49%,564,93.5,92.34,9.1,9.13,17.3,2287.6,-0.65,-4.70,-5.41,5.76,49.5%,-,-,8.2%,93.10,97.97,497.38,275.13,1408.74,4764.58,402.25
1,1184452864,L. Jewett,Luke Jewett,Jewett,Luke,P,UCLA,UCLA,5048,UCLA,BBC,R,R,78.08,-18.5,78.1,21.9%,17.5%,25.0%,41.7%,23,1:03,-148.6,.424,R,98.02,489.61,486.67,19.29%,310,92.3,91.18,10.7,10.71,18.7,2135.0,-0.88,-5.14,-5.51,5.77,51.1%,-,-,8.7%,93.88,98.33,480.48,236.08,1426.25,5123.60,377.19
1,1134382080,C. Mcintosh,Colton Mcintosh,Mcintosh,Colton,P,University of Washington,WASH,3110,Washington,BBC,L,R,66.13,-18.9,66.1,13.3%,0.0%,50.0%,50.0%,28,12:52,-153.9,.596,R,95.56,477.32,463.08,21.33%,23,93.6,93.27,5.8,5.78,12.7,2586.3,-1.39,-4.58,-4.53,6.21,34.8%,-,-,13.0%,98.78,101.20,461.09,282.73,1323.87,4666.32,450.71
1,1204030976,J. Hartle,Josh Hartle,Hartle,Josh,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,66.89,36.9,66.9,11.9%,12.0%,14.8%,63.0%,27,11:20,160.0,.176,L,75.23,375.76,368.88,15.83%,165,90.7,90.40,-3.4,3.42,10.0,2482.8,2.54,-5.09,-6.09,6.22,48.8%,-,-,4.8%,58.40,77.64,367.01,212.89,1220.23,5042.16,432.61
1,1175471616,C. Ohl,Carson Ohl,Ohl,Carson,P,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,70.59,-16.6,70.6,36.8%,60.0%,16.7%,16.7%,28,1:14,-142.8,.586,R,106.73,533.13,547.59,17.09%,41,89.3,87.63,13.5,13.45,19.0,2462.5,-0.47,-4.66,-5.24,5.43,53.7%,-,-,4.9%,93.56,98.80,538.17,287.26,1463.45,5238.50,431.66
1,1327704320,C. Kirchoff,Calvin Kirchoff,Kirchoff,Calvin,P,University of Washington,WASH,3110,Washington,BBC,R,R,80.16,-15.8,80.2,19.3%,20.0%,37.0%,32.9%,24,1:03,-148.6,.393,R,87.95,439.31,440.03,16.57%,344,89.0,89.02,10.5,10.46,18.3,2136.4,-0.75,-5.50,-5.88,6.44,48.7%,-,-,5.8%,72.89,86.66,440.29,191.30,1387.68,5017.86,376.79
1,1083612160,D. Christo,Drew Christo,Christo,Drew,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,74.28,-18.5,74.3,15.3%,13.6%,26.8%,33.8%,25,1:04,-148.0,.342,R,101.30,506.01,510.40,18.29%,342,91.3,90.08,11.3,11.31,19.2,2283.7,-0.44,-4.94,-5.54,5.70,52.2%,-,-,7.0%,93.36,98.15,503.56,256.77,1445.66,5187.60,401.92
1,1301906176,T. Meyer,Tyler Meyer,Meyer,Tyler,P,Arizona State University,ASU,5035,Arizona State,BBC,R,R,65.15,-36.1,65.2,4.0%,0.0%,0.0%,100.0%,24,1:08,-146.0,.598,R,100.58,502.38,519.61,15.30%,37,91.5,90.90,9.7,9.67,15.0,2197.2,-2.13,-4.12,-4.48,6.08,32.4%,-,-,8.1%,79.51,91.41,516.41,306.48,1351.67,5498.10,386.66
1,1236994816,J. Little,Jordan Little,Little,Jordan,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,66.41,-30.7,66.4,19.4%,50.0%,33.3%,25.0%,22,1:14,-142.9,.481,R,115.28,575.83,558.22,25.83%,78,93.0,92.26,12.1,12.12,17.1,2056.7,-2.13,-4.16,-4.65,5.97,59.7%,-,-,15.4%,144.18,122.28,554.02,316.52,1415.48,5504.44,364.30
1,1100116736,B. Barlow,Billy Barlow,Barlow,Billy,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,67.52,-18.9,67.5,17.1%,46.2%,40.0%,33.3%,26,1:13,-143.5,.518,R,88.58,442.47,425.67,20.57%,75,91.0,89.77,7.7,7.68,11.1,2350.7,-1.45,-4.96,-5.31,5.73,45.3%,-,-,12.0%,87.58,95.50,419.16,238.90,1274.38,4592.78,411.20
1,1183043840,T. Mudd,Tyler Mudd,Mudd,Tyler,P,Boston College,BC,227,Boston College,BBC,L,L,67.17,14.7,67.2,21.7%,10.0%,32.3%,25.8%,25,11:18,159.0,.316,L,102.59,512.46,505.14,21.13%,190,88.1,86.38,-7.9,7.88,21.6,2163.4,0.70,-4.29,-4.64,5.43,51.6%,-,-,11.1%,106.74,104.91,495.74,266.08,1408.57,4735.87,381.05
1,1162558464,W. Scott,Win Scott,Scott,Win,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,71.54,12.1,71.5,0.0%,33.3%,33.3%,33.3%,22,10:53,146.3,.681,L,92.58,462.46,459.18,18.33%,21,89.3,88.06,-9.5,9.51,15.4,1981.1,0.55,-4.73,-5.70,5.71,23.8%,-,-,9.5%,84.18,93.12,452.42,238.65,1318.38,4501.29,350.25
1,1204035584,P. Coppola,Pierce Coppola,Coppola,Pierce,P,University of Florida,FLA,730168320,Florida,BBC,L,L,72.34,28.3,72.3,21.3%,33.3%,71.4%,0.0%,26,11:02,150.8,.423,L,103.48,516.89,502.71,22.83%,82,92.8,92.47,-9.0,8.98,16.5,2400.6,1.90,-4.65,-5.31,6.21,42.7%,-,-,15.9%,114.75,109.01,500.77,280.58,1399.43,5380.01,421.03
1,1174372608,C. Mracna,Christian Mracna,Mracna,Christian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,64.43,-28.0,64.4,21.8%,18.2%,30.5%,23.7%,26,1:15,-142.7,.343,R,117.48,586.80,584.52,22.85%,541,92.1,92.28,12.3,12.32,17.2,2429.5,-1.78,-3.97,-4.34,6.54,46.6%,-,-,14.8%,133.54,117.28,585.68,345.94,1443.04,5567.83,426.20
1,1099937792,S. Gongora,Sebastian Gongora,Gongora,Sebastian,P,University of Louisville,LOU,5467,Louisville,BBC,L,L,76.95,17.7,76.9,24.3%,18.6%,29.3%,40.0%,25,10:53,146.5,.353,L,102.41,511.55,497.12,22.68%,691,91.7,89.66,-11.4,11.43,18.4,2271.3,0.48,-5.12,-5.80,5.24,56.5%,-,-,11.7%,112.73,108.06,485.94,245.49,1435.08,5126.38,399.84
1,1110087936,A. Finateri,Aeden Finateri,Finateri,Aeden,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,59.14,-35.9,59.1,26.7%,17.5%,26.8%,31.7%,24,1:07,-146.4,.302,R,96.62,482.63,460.29,23.33%,309,88.8,88.33,8.0,7.97,13.2,2156.2,-2.73,-4.14,-4.36,6.15,52.6%,-,-,13.6%,107.40,106.05,457.75,266.33,1275.75,5204.68,378.87
1,1184448256,M. Massey,Michael Massey,Massey,Michael,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,73.44,-14.7,73.4,22.2%,18.4%,27.9%,32.6%,26,12:13,-173.3,.365,R,95.72,478.11,461.72,21.84%,308,93.2,94.32,2.3,2.26,20.3,2379.8,-1.19,-4.48,-5.01,7.07,45.4%,-,-,13.6%,100.83,102.36,467.92,260.43,1389.27,4615.84,416.96
1,1314882304,C. Holton,Carter Holton,Holton,Carter,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,L,71.94,15.3,71.9,25.7%,24.1%,30.0%,33.3%,24,10:58,148.9,.363,L,109.19,545.41,527.45,24.75%,415,93.7,92.59,-10.1,10.11,18.0,2219.5,0.45,-4.53,-5.09,5.75,54.9%,-,-,14.9%,130.54,116.42,521.14,290.32,1427.40,4914.79,391.14
1,1083612416,P. Tolle,Payton Tolle,Tolle,Payton,P,Texas Christian University,TCU,5045,TCU,BBC,L,L,65.31,35.6,65.3,23.4%,24.2%,38.8%,32.7%,23,10:59,149.7,.248,L,109.22,545.56,528.48,24.56%,842,91.5,93.03,-9.5,9.51,17.2,2144.8,2.16,-4.11,-4.77,7.28,52.8%,30.4%,50.0%,15.3%,129.79,116.04,536.74,303.84,1382.31,5617.46,378.34
1,1207747072,J. Miner,Jace Miner,Miner,Jace,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,66.59,28.1,66.6,18.2%,-,-,-,23,10:57,148.4,.475,L,86.37,431.40,457.97,10.53%,20,89.2,88.81,-8.6,8.65,15.0,2044.2,2.35,-4.60,-5.31,6.18,42.1%,-,-,0.0%,48.21,72.98,455.71,246.53,1306.96,5054.27,360.78
1,1273288192,D. Castellano,Dominic Castellano,Castellano,Dominic,P,University of Central Florida,UCF,730256640,Central Florida,BBC,R,L,66.68,17.6,66.7,19.2%,10.5%,21.1%,47.4%,25,10:47,143.6,.357,L,104.86,523.79,525.06,19.66%,117,90.3,89.58,-11.5,11.50,16.7,2273.1,0.16,-4.45,-5.11,5.99,55.6%,-,-,7.7%,103.22,103.13,520.96,289.33,1396.72,4993.56,399.48
1,1308472064,K. Kramer,Kyle Kramer,Kramer,Kyle,P,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,62.67,-22.5,62.7,21.0%,15.0%,35.0%,25.0%,25,1:07,-146.3,.283,R,108.26,540.75,534.02,22.08%,137,90.6,90.44,10.1,10.14,16.2,2262.7,-0.96,-4.05,-4.73,6.32,54.7%,-,-,11.7%,117.91,110.24,533.13,312.94,1374.77,5054.88,397.56
1,1086008320,J. Dannelley,Jackson Dannelley,Dannelley,Jackson,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,68.79,-18.0,68.8,16.7%,16.7%,28.6%,35.7%,24,1:01,-149.5,.499,R,94.26,470.81,485.32,14.70%,112,93.0,91.79,8.3,8.28,14.8,2246.5,-1.16,-4.56,-5.41,5.71,40.5%,-,-,6.3%,71.36,86.43,478.64,277.12,1350.27,4737.78,394.85
1,1245353216,H. Cranton,Hunter Cranton,Cranton,Hunter,P,University of Kansas,KU,730360064,Kansas,BBC,R,R,67.35,-21.4,67.3,38.5%,18.5%,28.6%,39.3%,26,12:57,-151.4,.270,R,122.93,614.04,596.23,27.33%,199,97.1,95.80,9.3,9.29,17.9,2530.9,-0.80,-3.82,-3.91,5.69,45.2%,-,-,21.1%,162.95,129.95,589.29,371.58,1473.74,5197.11,443.31
1,1155641344,L. Holman,Luke Holman,Holman,Luke,P,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,76.15,-16.6,76.1,29.2%,23.7%,33.0%,35.0%,22,12:52,-154.1,.295,R,98.06,489.80,492.08,18.14%,627,92.0,90.68,9.2,9.16,19.9,2050.6,-1.08,-4.82,-4.94,5.68,42.2%,-,-,10.2%,89.26,95.92,485.08,246.95,1418.73,4931.51,362.95
1,1157409536,T. Jones,Tanner Jones,Jones,Tanner,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,67.71,-21.9,67.7,23.0%,16.3%,27.3%,36.4%,25,12:56,-152.0,.356,R,106.94,534.15,523.92,22.61%,340,93.8,93.99,8.3,8.32,16.6,2328.8,-1.44,-4.25,-4.79,6.50,55.3%,-,-,12.1%,118.43,110.57,524.75,308.63,1394.99,5047.29,408.95
1,1153629184,J. Jelkin,Jaxon Jelkin,Jelkin,Jaxon,P,University of Houston,HOU,3030,Houston,BBC,R,R,70.58,-27.1,70.6,10.5%,11.1%,11.1%,44.4%,27,1:21,-139.4,.288,R,100.27,500.86,538.99,10.61%,33,93.9,92.68,12.1,12.09,15.2,2567.0,-1.21,-4.70,-4.89,5.74,42.4%,-,-,0.0%,57.17,81.32,532.54,305.81,1434.54,5512.95,449.03
1,1210146816,J. Brockett,Jackson Brockett,Brockett,Jackson,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,L,67.79,23.4,67.8,22.1%,17.8%,24.0%,52.0%,21,11:14,156.8,.263,L,85.58,427.48,421.61,17.58%,219,89.8,90.04,-6.1,6.12,15.3,1844.1,1.81,-4.68,-5.12,6.53,52.5%,-,-,5.9%,74.10,87.40,422.71,221.04,1272.97,4684.70,327.06
1,1297348352,W. Parliament,Wyatt Parliament,Parliament,Wyatt,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,65.80,-14.5,65.8,27.0%,25.0%,38.1%,31.7%,27,1:19,-140.7,.377,R,122.26,610.69,594.51,26.84%,374,92.9,91.65,13.2,13.20,17.3,2500.6,-0.29,-4.09,-4.48,5.66,50.3%,-,-,19.0%,159.57,128.52,587.35,349.08,1467.71,5095.88,438.12
1,1088364544,J. Keisel,Janzen Keisel,Keisel,Janzen,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,63.82,-33.8,63.8,13.9%,13.6%,37.5%,33.3%,25,1:11,-144.6,.297,R,121.15,605.15,614.48,20.97%,191,94.2,92.99,12.3,12.30,18.3,2376.9,-2.13,-3.73,-4.58,5.74,47.1%,-,-,12.0%,128.84,115.47,608.05,371.23,1473.75,5772.83,418.06
1,1310946304,C. Foss,Carter Foss,Foss,Carter,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,68.50,-18.2,68.5,38.9%,44.4%,33.3%,33.3%,23,1:16,-142.0,.412,R,88.03,439.72,451.88,14.04%,35,92.2,91.66,9.2,9.15,12.5,2096.1,-1.13,-4.86,-5.55,6.10,47.1%,-,-,2.9%,63.45,81.38,448.89,247.18,1302.89,4673.06,369.44
1,1123440128,B. Van sickle,Bryson Van sickle,Van sickle,Bryson,P,University of Utah,UTAH,730328320,Utah,BBC,L,L,72.52,21.7,72.5,36.7%,27.6%,41.2%,29.4%,24,11:11,155.3,.419,L,87.09,435.03,426.87,18.37%,117,89.3,88.61,-6.5,6.55,16.9,2119.7,1.65,-4.94,-5.40,6.03,57.8%,-,-,5.1%,78.42,89.97,423.17,214.77,1322.11,4818.52,373.24
1,1207749120,C. Allsup,Chase Allsup,Allsup,Chase,P,Auburn University,AUB,5466,Auburn,BBC,S,R,75.31,-12.4,75.3,31.7%,23.3%,37.5%,35.4%,24,12:54,-152.9,.378,R,106.19,530.42,526.56,21.05%,498,95.2,93.74,9.1,9.12,18.8,2278.1,-0.28,-4.61,-5.04,5.59,51.2%,-,-,11.0%,110.85,106.85,518.74,289.44,1448.51,4828.13,401.09
1,1337773056,T. Ruhl,Tyler Ruhl,Ruhl,Tyler,P,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,65.08,-29.8,65.1,14.8%,22.7%,28.0%,44.0%,26,1:01,-149.3,.609,R,96.60,482.51,496.03,15.37%,157,90.4,89.84,8.7,8.74,15.7,2325.8,-2.06,-4.38,-4.92,6.10,43.9%,-,-,5.7%,76.23,89.22,493.02,283.55,1354.34,5253.52,407.94
1,1184448768,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Duke University,DUKE,730336256,Duke,BBC,L,L,69.95,24.2,70.0,17.9%,25.0%,31.9%,21.3%,23,10:50,144.8,.363,L,115.11,574.98,582.58,20.20%,361,94.1,93.24,-12.7,12.66,19.0,2207.9,1.02,-4.22,-4.48,5.93,48.9%,-,-,10.5%,117.69,110.30,577.97,327.45,1473.90,5459.59,389.85
1,1184457984,R. Higgins,Ryan Higgins,Higgins,Ryan,P,Duke University,DUKE,730336256,Duke,BBC,R,R,72.77,-12.1,72.8,21.0%,24.5%,24.6%,29.8%,24,12:45,-157.5,.319,R,102.66,512.81,522.25,17.43%,345,93.4,92.39,7.8,7.83,19.8,2239.2,-0.63,-4.37,-5.00,5.83,46.1%,-,-,7.8%,91.01,97.13,516.65,290.50,1431.64,4728.58,394.32
1,1236966400,S. Naturman,Slaide Naturman,Naturman,Slaide,P,University of Miami,MIA,236,Miami,BBC,R,R,69.54,-17.7,69.5,16.7%,0.0%,21.4%,21.4%,23,12:55,-152.7,.475,R,99.86,498.82,501.82,18.32%,88,90.5,89.61,9.7,9.68,19.8,2040.4,-0.92,-4.62,-5.19,5.88,45.5%,-,-,9.1%,91.95,97.38,496.75,256.81,1409.18,4931.98,361.08
1,1330597888,J. Engman,Jared Engman,Engman,Jared,P,University of Washington,WASH,3110,Washington,BBC,R,R,72.80,-7.9,72.8,27.3%,30.8%,28.1%,50.0%,22,1:07,-146.4,.528,R,97.13,485.15,483.70,18.79%,124,92.2,91.90,10.3,10.27,16.5,2018.8,0.08,-4.84,-5.51,6.27,55.6%,-,-,6.5%,90.90,96.76,482.30,250.28,1373.30,4530.09,357.21
1,1185348352,C. Grillo,Chase Grillo,Grillo,Chase,P,Washington State University,WSU,4505,Washington State,BBC,R,R,70.43,-24.3,70.4,18.5%,30.4%,33.3%,25.0%,26,1:01,-149.3,.586,R,102.27,510.84,531.18,14.93%,116,92.2,91.55,10.1,10.10,17.9,2438.2,-1.75,-4.49,-5.39,6.02,43.5%,-,-,5.2%,79.32,91.63,527.43,296.61,1433.08,5334.23,427.61
1,1077999104,C. Sullivan,Connor Sullivan,Sullivan,Connor,P,University of California,CAL,730152448,California,BBC,R,R,64.57,-22.3,64.6,23.5%,0.0%,40.0%,20.0%,25,1:17,-141.4,.323,R,109.54,547.13,533.77,23.79%,88,91.3,91.19,11.5,11.53,15.5,2296.6,-1.42,-4.23,-4.55,6.36,42.0%,-,-,17.0%,127.01,114.61,533.21,305.51,1387.60,5155.40,403.49
